2021-12-03 07:37:25+00:00,b'@sonalaa @tourismgoi @PMOIndia @kishanreddybjp @KishanReddyOfc @shripadynaik @AjaybhattBJP4UK @FinMinIndia @PIBTour\xe2\x80\xa6 https://t.co/PzPMHZkMTK',b'I_Walk_Alone_24',"b'Kolkata, India'"
,,,
2021-12-03 07:33:07+00:00,b'@tourismgoi @PMOIndia @kishanreddybjp @KishanReddyOfc @shripadynaik @AjaybhattBJP4UK @FinMinIndia @PIBTour\xe2\x80\xa6 https://t.co/kfve5VVupN',b'I_Walk_Alone_24',"b'Kolkata, India'"
,,,
2021-12-03 07:27:26+00:00,b'PMOIndia@JPNadda@Incredibleindia@MinOfCultureGOI@tourismGoi@BJP4India@RSSorg@ASIGoi@kishanreddy#So strange!Officail\xe2\x80\xa6 https://t.co/9wAV59oaJW',b'AnitaBembey',b''
,,,
2021-12-03 07:21:51+00:00,"b'@kishanreddybjp @KishanReddyOfc @narendramodi @tourismgoi @PMOIndia @PIBTour @PIB_India @PIBHindi Sir, REGIONAL LEV\xe2\x80\xa6 https://t.co/YzDWifUvtj'",b'guidearun',"b'Cochin, India'"
,,,
2021-12-03 06:48:30+00:00,b'#InvestInIndia\n\n#NewIndia\xe2\x80\x99s travel &amp; tourism segment is projected to account for ~53 Million jobs by 2029!\n\nKnow mo\xe2\x80\xa6 https://t.co/reCUvMFg4W',b'investindia',b''
,,,
2021-12-03 06:42:41+00:00,b'@NorthernComd_IA @gijojoseph1982 @adgpi @firefurycorps @Tri_Service @MirYanaSY @AdityaRajKaul @tourismgoi\xe2\x80\xa6 https://t.co/vMfQMDGJTf',b'AranavL',b''
,,,
2021-12-03 06:36:11+00:00,b'@NorthernComd_IA @adgpi @firefurycorps @Tri_Service @MirYanaSY @AdityaRajKaul @tourismgoi @HQ_DG_NCC @proudhampur\xe2\x80\xa6 https://t.co/BjvkjWpHmX',b'Altruist1708',b''
,,,
2021-12-03 06:33:25+00:00,b'@TempleTrails @pallavict @Ramesh57574373 @punarutthana @sowmiyasid @_ankahi @SriRamya21 @ramapriya1989 @tourismgoi\xe2\x80\xa6 https://t.co/CGGS4iz9Hz',b'SoniaGurnani19',b'New Delhi / USA(in past )'
,,,
2021-12-03 06:08:33+00:00,b'@RSB_85 @VisitJharkhand @incredibleindia @tourismgoi @prdjharkhand Wow really nice',b'2009Rohit0102',"b'Dumka, India'"
,,,
2021-12-03 06:05:14+00:00,"b""@GujaratTourism @tourismgoi 10x for Gujarat's nature..""",b'kishanhadgala',b''
,,,
2021-12-03 06:00:56+00:00,"b'The Mart for 2021 was conducted in Kohima, Nagaland by Ministry of Tourism to highlight the tourism potential of th\xe2\x80\xa6 https://t.co/0Evupj5jHN'",b'tourismgoi',"b'New Delhi, India'"
,,,
2021-12-03 06:00:55+00:00,"b""Watch the brief coverage of 'International Tourism Mart for the North East Region' by DD News at:\xe2\x80\xa6 https://t.co/MgCivt5tLb""",b'tourismgoi',"b'New Delhi, India'"
,,,
2021-12-03 05:57:16+00:00,"b'Shri Laisam Simai, MLA and Advisor - Tourism, Arunachal Pradesh, said, ""We are thinking in the direction of promoti\xe2\x80\xa6 https://t.co/bBjSKRYbMb'",b'tourismgoi',"b'New Delhi, India'"
,,,
2021-12-03 05:54:48+00:00,b'@teekhi_mircheee @rannutsavtour @GujaratTourism @tourismgoi @incredibleindia WOW.\nHave a HAPPY BIRTHDAY.\nMay all yo\xe2\x80\xa6 https://t.co/EKduPqCL52',b'AKforPeace',b'India'
,,,
2021-12-03 05:49:15+00:00,"b""Let's see what your eyes tell you. \nLet's #Caption the photograph. \n\n#CanYouReadMyMind\n#WeCanWeCare\n\nPic Courtesy -\xe2\x80\xa6 https://t.co/xnKaifFE3P""",b'NasreemKouser',b''
,,,
2021-12-03 05:40:55+00:00,b'Nagaland to hand over IHM Dimapur\xe2\x80\x99s management responsibilities to TPCI : @ETTravelworld \n\nRead the full article he\xe2\x80\xa6 https://t.co/uZd14yyvSS',b'tourismgoi',"b'New Delhi, India'"
,,,
2021-12-03 05:31:40+00:00,"b""#UNWTO conferred the title of #BestTourismVillage from India to #Pochampally. It's a matter of pride and honour to\xe2\x80\xa6 https://t.co/md1jPmwG4i""",b'tstdcofficial',b'Hyderabad'
,,,
2021-12-03 05:28:40+00:00,b'@NorthernComd_IA @adgpi @firefurycorps @Tri_Service @MirYanaSY @AdityaRajKaul @tourismgoi @HQ_DG_NCC @proudhampur\xe2\x80\xa6 https://t.co/3m0qrET47L',b'rajajunaid617',b'Jammu And Kashmir'
,,,
2021-12-03 05:19:30+00:00,b'@TempleTrails @Indigen_Apsara @pallavict @Ramesh57574373 @punarutthana @SoniaGurnani19 @sowmiyasid @_ankahi\xe2\x80\xa6 https://t.co/kc6ytfY1OR',b'ashesh065',"b'Rajendra Nagar, India'"
,,,
2021-12-03 05:17:09+00:00,"b'@happyeasygo is a real scamster! More than 1 year passed and still didnot receive my refund! multiple mails, twits\xe2\x80\xa6 https://t.co/2GTM24npWp'",b'antim_bhowal',"b'Noida, India'"
,,,
2021-12-03 05:09:43+00:00,b'@RSB_85 @VisitJharkhand @incredibleindia @tourismgoi @prdjharkhand Is it waterfall? Looks like a water stream.',b'preetansh2000',b'Noida'
,,,
2021-12-03 05:05:24+00:00,"b'Bought an @airindiain ticket from @YatraOfficial. Now flight canceled, but both of them are not helping us to fly.\xe2\x80\xa6 https://t.co/RvTkMC9sDD'",b'soumitad',b''
,,,
2021-12-03 04:58:15+00:00,b'@IndiaToday @NewsX @aajtak @ZeeNews @ndtvindia @SonyTV @IndiaNewsNetwk @CNNnews18 @ABPNews\nImportant for\xe2\x80\xa6 https://t.co/5shWzADFTW',b'AAPVora',"b'Mumbai - Maharashtra, BHARAT.'"
,,,
2021-12-03 04:55:15+00:00,b'@TempleTrails @pallavict @Ramesh57574373 @punarutthana @SoniaGurnani19 @sowmiyasid @SriRamya21 @ramapriya1989\xe2\x80\xa6 https://t.co/ggKLQXwm0H',b'_ankahi',b'Vasudhev Kutumbkum'
,,,
2021-12-03 04:53:23+00:00,"b'As per the scheme, the #government guaranteed to provide personal loans &amp; working capital #loans from banks for app\xe2\x80\xa6 https://t.co/SXqo02J9RZ'",b'ETTravelworld',b''
,,,
2021-12-03 04:50:04+00:00,b'\xe2\x9c\x85 #knowledgeispower \n@PMOIndia @narendramodi @CMOMaharashtra\n@MahaEnvCC\n@AUThackeray\n@mybmc\n@KishoriPednekar\xe2\x80\xa6 https://t.co/PV8o5Oz4Cj',b'panchamahabhute',"b'Mumbai, India'"
,,,
2021-12-03 04:48:54+00:00,b'Celebrating my birthday at @rannutsavtour \n@GujaratTourism @tourismgoi @incredibleindia https://t.co/anHW5wpTY0',b'teekhi_mircheee',b'india'
,,,
2021-12-03 04:46:15+00:00,b'@Indiainbhutan @MEAIndia @IndianDiplomacy @iccr_hq @tourismgoi @incredibleindia @PIB_India @DDNewslive @PBNS_India\xe2\x80\xa6 https://t.co/0NL3SkwLU6',b'axomnews421',"b'Assam, India'"
,,,
2021-12-03 04:36:10+00:00,b'Concluding remarks by Ms. Thinley Yangchen Dorji at the Final Round of the #AmritMahotsav Quiz on #Buddhism held on\xe2\x80\xa6 https://t.co/5nNsCD5mVZ',b'Indiainbhutan',"b'Thimphu, Bhutan'"
,,,
2021-12-03 04:33:50+00:00,b'@RSB_85 @VisitJharkhand @incredibleindia @tourismgoi @prdjharkhand Wowwww Mam awasome Jharkhand \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f. Must want to visit',b'sajjan96',b'Dhanbad '
,,,
2021-12-03 04:19:56+00:00,"b'DYK-\nThe strawberries from  #Mahabaleshwar, a beautiful hill station in the Sayadhari ranges of Maharashtra are #GI\xe2\x80\xa6 https://t.co/VeSCataMat'",b'IndianEmbassyTR',"b'Ankara, T\xc3\xbcrkiye'"
,,,
